protA,protB
P41182,P56524
P41182,Q9UQL6
P41182,Q8WUI4
Q09472,Q92793
Q09472,Q92831
Q09472,Q9Y6Q9
Q92793,Q92831
Q92793,Q9Y6Q9
Q92831,Q9Y6Q9
O95347,Q15003
O95347,Q15021
O95347,Q9BPX3
O95347,Q9NTJ3
Q15003,Q15021
Q15003,Q9BPX3
Q15003,Q9NTJ3
Q15021,Q9BPX3
Q15021,Q9NTJ3
Q9BPX3,Q9NTJ3
Q92902,Q9NQG7
Q86YV9,Q969F9
Q86YV9,Q9UPZ3
Q969F9,Q9UPZ3
Q92903,Q96NY9
O15379,O60907
O15379,O75376
O15379,Q13227
O15379,Q92828
O15379,Q9BZK7
O60907,O75376
O60907,Q13227
O60907,Q92828
O60907,Q9BZK7
O75376,Q13227
O75376,Q92828
O75376,Q9BZK7
Q13227,Q92828
Q13227,Q9BZK7
Q92828,Q9BZK7
O95295,P78537
O95295,Q6QNY0
O95295,Q6QNY1
O95295,Q8TDH9
O95295,Q96EV8
O95295,Q9NUP1
O95295,Q9UL45
P78537,Q6QNY0
P78537,Q6QNY1
P78537,Q8TDH9
P78537,Q96EV8
P78537,Q9NUP1
P78537,Q9UL45
Q6QNY0,Q6QNY1
Q6QNY0,Q8TDH9
Q6QNY0,Q96EV8
Q6QNY0,Q9NUP1
Q6QNY0,Q9UL45
Q6QNY1,Q8TDH9
Q6QNY1,Q96EV8
Q6QNY1,Q9NUP1
Q6QNY1,Q9UL45
Q8TDH9,Q96EV8
Q8TDH9,Q9NUP1
Q8TDH9,Q9UL45
Q96EV8,Q9NUP1
Q96EV8,Q9UL45
Q9NUP1,Q9UL45
O15143,O15144
O15143,O15145
O15143,O15511
O15143,P59998
O15143,P61158
O15143,P61160
O15144,O15145
O15144,O15511
O15144,P59998
O15144,P61158
O15144,P61160
O15145,O15511
O15145,P59998
O15145,P61158
O15145,P61160
O15511,P59998
O15511,P61158
O15511,P61160
P59998,P61158
P59998,P61160
P61158,P61160
Q06323,Q9UL46
O00231,O00232
O00231,O00233
O00231,O00487
O00231,O43242
O00231,O75832
O00231,P17980
O00231,P35998
O00231,P43686
O00231,P48556
O00231,P51665
O00231,P55036
O00231,P62191
O00231,P62195
O00231,P62333
O00231,Q13200
O00231,Q15008
O00231,Q16401
O00231,Q99460
O00231,Q9UNM6
O00232,O00233
O00232,O00487
O00232,O43242
O00232,O75832
O00232,P17980
O00232,P35998
O00232,P43686
O00232,P48556
O00232,P51665
O00232,P55036
O00232,P62191
O00232,P62195
O00232,P62333
O00232,Q13200
O00232,Q15008
O00232,Q16401
O00232,Q99460
O00232,Q9UNM6
O00233,O00487
O00233,O43242
O00233,O75832
O00233,P17980
O00233,P35998
O00233,P43686
O00233,P48556
O00233,P51665
O00233,P55036
O00233,P62191
O00233,P62195
O00233,P62333
O00233,Q13200
O00233,Q15008
O00233,Q16401
O00233,Q99460
O00233,Q9UNM6
O00487,O43242
O00487,O75832
O00487,P17980
O00487,P35998
O00487,P43686
O00487,P48556
O00487,P51665
O00487,P55036
O00487,P62191
O00487,P62195
O00487,P62333
O00487,Q13200
O00487,Q15008
O00487,Q16401
O00487,Q99460
O00487,Q9UNM6
O43242,O75832
O43242,P17980
O43242,P35998
O43242,P43686
O43242,P48556
O43242,P51665
O43242,P55036
O43242,P62191
O43242,P62195
O43242,P62333
O43242,Q13200
O43242,Q15008
O43242,Q16401
O43242,Q99460
O43242,Q9UNM6
O75832,P17980
O75832,P35998
O75832,P43686
O75832,P48556
O75832,P51665
O75832,P55036
O75832,P62191
O75832,P62195
O75832,P62333
O75832,Q13200
O75832,Q15008
O75832,Q16401
O75832,Q99460
O75832,Q9UNM6
P17980,P35998
P17980,P43686
P17980,P48556
P17980,P51665
P17980,P55036
P17980,P62191
P17980,P62195
P17980,P62333
P17980,Q13200
P17980,Q15008
P17980,Q16401
P17980,Q99460
P17980,Q9UNM6
P35998,P43686
P35998,P48556
P35998,P51665
P35998,P55036
P35998,P62191
P35998,P62195
P35998,P62333
P35998,Q13200
P35998,Q15008
P35998,Q16401
P35998,Q99460
P35998,Q9UNM6
P43686,P48556
P43686,P51665
P43686,P55036
P43686,P62191
P43686,P62195
P43686,P62333
P43686,Q13200
P43686,Q15008
P43686,Q16401
P43686,Q99460
P43686,Q9UNM6
P48556,P51665
P48556,P55036
P48556,P62191
P48556,P62195
P48556,P62333
P48556,Q13200
P48556,Q15008
P48556,Q16401
P48556,Q99460
P48556,Q9UNM6
P51665,P55036
P51665,P62191
P51665,P62195
P51665,P62333
P51665,Q13200
P51665,Q15008
P51665,Q16401
P51665,Q99460
P51665,Q9UNM6
P55036,P62191
P55036,P62195
P55036,P62333
P55036,Q13200
P55036,Q15008
P55036,Q16401
P55036,Q99460
P55036,Q9UNM6
P62191,P62195
P62191,P62333
P62191,Q13200
P62191,Q15008
P62191,Q16401
P62191,Q99460
P62191,Q9UNM6
P62195,P62333
P62195,Q13200
P62195,Q15008
P62195,Q16401
P62195,Q99460
P62195,Q9UNM6
P62333,Q13200
P62333,Q15008
P62333,Q16401
P62333,Q99460
P62333,Q9UNM6
Q13200,Q15008
Q13200,Q16401
Q13200,Q99460
Q13200,Q9UNM6
Q15008,Q16401
Q15008,Q99460
Q15008,Q9UNM6
Q16401,Q99460
Q16401,Q9UNM6
Q99460,Q9UNM6
O15212,O60925
O15212,P61758
O15212,Q99471
O15212,Q9NQP4
O15212,Q9UHV9
O60925,P61758
O60925,Q99471
O60925,Q9NQP4
O60925,Q9UHV9
P61758,Q99471
P61758,Q9NQP4
P61758,Q9UHV9
Q99471,Q9NQP4
Q99471,Q9UHV9
Q9NQP4,Q9UHV9
O43747,O75843
O43747,P56377
O43747,P61966
O43747,Q10567
O43747,Q96PC3
O43747,Q9BXS5
O43747,Q9Y6Q5
O75843,P56377
O75843,P61966
O75843,Q10567
O75843,Q96PC3
O75843,Q9BXS5
O75843,Q9Y6Q5
P56377,P61966
P56377,Q10567
P56377,Q96PC3
P56377,Q9BXS5
P56377,Q9Y6Q5
P61966,Q10567
P61966,Q96PC3
P61966,Q9BXS5
P61966,Q9Y6Q5
Q10567,Q96PC3
Q10567,Q9BXS5
Q10567,Q9Y6Q5
Q96PC3,Q9BXS5
Q96PC3,Q9Y6Q5
Q9BXS5,Q9Y6Q5
O94776,O95983
O94776,P41182
O94776,Q13547
O94776,Q9BTC8
O95983,P41182
O95983,Q13547
O95983,Q9BTC8
P41182,Q13547
P41182,Q9BTC8
Q13547,Q9BTC8
P49768,Q92542
P49768,Q96BI3
P49768,Q9NZ42
Q92542,Q96BI3
Q92542,Q9NZ42
Q96BI3,Q9NZ42
O60264,O95239
O60264,O95347
O60264,Q13547
O60264,Q96ST3
O60264,Q9NTJ3
O60264,Q9UBC3
O95239,O95347
O95239,Q13547
O95239,Q96ST3
O95239,Q9NTJ3
O95239,Q9UBC3
O95347,Q13547
O95347,Q96ST3
O95347,Q9UBC3
Q13547,Q96ST3
Q13547,Q9NTJ3
Q13547,Q9UBC3
Q96ST3,Q9NTJ3
Q96ST3,Q9UBC3
Q9NTJ3,Q9UBC3
P20339,Q15276
P20339,Q9UJ41
Q15276,Q9UJ41
O00422,O75446
O00422,Q09028
O00422,Q13547
O00422,Q16576
O00422,Q92769
O00422,Q96ST3
O75446,Q09028
O75446,Q13547
O75446,Q16576
O75446,Q92769
O75446,Q96ST3
Q09028,Q13547
Q09028,Q16576
Q09028,Q92769
Q09028,Q96ST3
Q13547,Q16576
Q13547,Q92769
Q16576,Q92769
Q16576,Q96ST3
Q92769,Q96ST3
P27361,P56524
P28482,P56524
O15379,Q9Y618
O60907,Q9Y618
Q13227,Q9Y618
